"n","p1","Deff","alpha","delta_p"
200,0.21,2.4,"99%",0.114929335477558
300,0.21,2.4,"99%",0.0938394094657215
400,0.21,2.4,"99%",0.0812673124734448
200,0.22,2.4,"99%",0.116887035554945
300,0.22,2.4,"99%",0.0954378648853898
400,0.22,2.4,"99%",0.0826516154736944
200,0.23,2.4,"99%",0.118745451519165
300,0.23,2.4,"99%",0.096955255166117
400,0.23,2.4,"99%",0.0839657140042597
200,0.24,2.4,"99%",0.120509176747313
300,0.24,2.4,"99%",0.0983953307845964
400,0.24,2.4,"99%",0.0852128560732335
200,0.25,2.4,"99%",0.122182311945296
300,0.25,2.4,"99%",0.0997614399531794
400,0.25,2.4,"99%",0.0863959413175692
200,0.26,2.4,"99%",0.12376853102642
300,0.26,2.4,"99%",0.101056582409519
400,0.26,2.4,"99%",0.0875175675862788
200,0.27,2.4,"99%",0.12527113570466
300,0.27,2.4,"99%",0.102283453991788
400,0.27,2.4,"99%",0.0885800695437054
200,0.28,2.4,"99%",0.126693101063912
300,0.28,2.4,"99%",0.103444483845815
400,0.28,2.4,"99%",0.0895855508918445
200,0.29,2.4,"99%",0.128037113845179
300,0.29,2.4,"99%",0.104541865686442
400,0.29,2.4,"99%",0.0905359114434797
200,0.3,2.4,"99%",0.129305604807268
300,0.3,2.4,"99%",0.105577584219926
400,0.3,2.4,"99%",0.0914328700046473
200,0.31,2.4,"99%",0.130500776225666
300,0.31,2.4,"99%",0.10655343759667
400,0.31,2.4,"99%",0.0922779838192763
200,0.32,2.4,"99%",0.131624625373015
300,0.32,2.4,"99%",0.10747105658296
400,0.32,2.4,"99%",0.0930726651723979
200,0.33,2.4,"99%",0.132678964654649
300,0.33,2.4,"99%",0.108331921001551
400,0.33,2.4,"99%",0.0938181956281122
200,0.34,2.4,"99%",0.133665438940774
300,0.34,2.4,"99%",0.109137373883346
400,0.34,2.4,"99%",0.0945157382852981
200,0.35,2.4,"99%",0.134585540533847
300,0.35,2.4,"99%",0.109888633688196
400,0.35,2.4,"99%",0.0951663483611405
200,0.36,2.4,"99%",0.135440622128309
300,0.36,2.4,"99%",0.110586804886489
400,0.36,2.4,"99%",0.0957709823550522
200,0.37,2.4,"99%",0.136231908055259
300,0.37,2.4,"99%",0.111232887140379
400,0.37,2.4,"99%",0.0963305059998559
200,0.38,2.4,"99%",0.136960504052837
300,0.38,2.4,"99%",0.111827783281279
400,0.38,2.4,"99%",0.0968457011704886
200,0.39,2.4,"99%",0.137627405761336
300,0.39,2.4,"99%",0.112372306246083
400,0.39,2.4,"99%",0.097317271890953
200,0.4,2.4,"99%",0.138233506108111
300,0.4,2.4,"99%",0.112867185106924
400,0.4,2.4,"99%",0.0977458495562371
200,0.01,1.2,"95%",0.0151057159363345
300,0.01,1.2,"95%",0.0123337654144826
400,0.01,1.2,"95%",0.0106813541732598
200,0.02,1.2,"95%",0.0212545420396119
300,0.02,1.2,"95%",0.0173542609045277
400,0.02,1.2,"95%",0.0150292308072241
200,0.03,1.2,"95%",0.0258982375866234
300,0.03,1.2,"95%",0.0211458224415319
400,0.03,1.2,"95%",0.0183128194182817
200,0.04,1.2,"95%",0.029750161550619
300,0.04,1.2,"95%",0.0242909051881279
