"Antimicrobial","Species","Animal","LI","LC","M","UC","UI"
"CFUR","E.coli","Pigs",2.60351252708267e-05,0.000276969042807882,0.000833421404925885,0.00199295438408415,0.00724066526114421
"CFUR","E.coli","Poultry",3.03637396397859e-05,0.000289909918463389,0.000799218615308928,0.00197845826896286,0.00685635951393037
"CIP","Campylobacter","Calves",6.03520788005094e-05,0.000731443549483896,0.00240586893063056,0.00679472941539513,0.0275469215617133
"CIP","E.coli","Calves",2.32594404292694e-05,0.000279215980055481,0.000792698468740784,0.00197085732693456,0.00695116642373919
"CIP","Enterococci","Calves",0.206789173800235,0.243696284716898,0.265192044101631,0.287021382688684,0.332865018393887
"CIP","Campylobacter","Pigs",7.68402735217504e-05,0.00147445072436476,0.00565881955435401,0.0194018208215273,0.109003478657218
"CIP","E.coli","Pigs",2.49680093409068e-05,0.00028300403276636,0.000833322508054409,0.0019353374340126,0.00713178640328436
"CIP","Enterococci","Pigs",0.0425320621399497,0.0612912066976172,0.0729935270255977,0.086721139985351,0.117203374037204
"CIP","Campylobacter","Poultry",0.00975688979317805,0.0173701350086091,0.0227928930435803,0.0298192409512792,0.0467971528479051
"CIP","E.coli","Poultry",2.38135144352048e-05,0.000285066676817438,0.000817226644446149,0.00195900507964389,0.00702628881871016
"CIP","Enterococci","Poultry",0.165610152424537,0.208520634118842,0.234058575991452,0.260763456429981,0.31774455672671
"CM","Campylobacter","Calves",4.58029857324842e-05,0.000683847442443886,0.00237180169700578,0.00679703027777724,0.029167496294239
"CM","E.coli","Calves",0.014244399716864,0.0228783717108865,0.028788568323803,0.0353722444343493,0.0518987908343761
"CM","Enterococci","Calves",0.0093094259502959,0.0168269981800035,0.0221663615484734,0.0284342190569592,0.0443669521027994
"CM","Campylobacter","Pigs",7.41604960774427e-05,0.0013827464294676,0.00547481979463788,0.0184080939596439,0.112707131685015
"CM","E.coli","Pigs",0.0584208902960172,0.0793439985195418,0.0928028740016961,0.10734083190053,0.141319744647145
"CM","Enterococci","Pigs",0.0382924575856792,0.0543958381219071,0.0650807330803315,0.0773217806975066,0.107416172971275
"CM","Campylobacter","Poultry",2.37114007588915e-05,0.000310106230500162,0.000842986033695768,0.00204180645526911,0.00735460166237795
"CM","E.coli","Poultry",0.000978558647304676,0.00342221357109481,0.00562466587979081,0.00890955841538527,0.0177110329628516
"CM","Enterococci","Poultry",0.000275046516504904,0.00146271820328386,0.00297570221376884,0.00531713489807365,0.0129451224501326
